Time,Yaw_Angle
1773652966.3853803,90.1
1773652966.4852288,90.1
1773652966.5856576,90.1
1773652966.6851513,90.1
1773652966.7851446,90.1
1773652966.885326,90.1
1773652966.9852724,90.1
1773652967.08536,90.1
1773652967.1852953,90.1
1773652967.2850978,90.1
1773652967.3856332,90.1
1773652967.4854014,90.1
1773652967.5852537,90.1
1773652967.6851907,90.1
1773652967.785222,90.1
1773652967.885274,90.1
1773652967.9854503,90.1
1773652968.0856168,90.1
1773652968.1853914,90.1
1773652968.2851675,90.1
1773652968.3855124,90.1
1773652968.4854226,90.1
1773652968.5857968,90.1
1773652968.685455,90.1
1773652968.785385,90.1
1773652968.8852637,90.1
1773652968.9854214,90.1
1773652969.085732,90.1
1773652969.1854382,90.1
1773652969.285272,90.1
1773652969.3851757,90.1
1773652969.4852471,90.1
1773652969.585764,90.1
1773652969.6856368,90.1
1773652969.7854347,90.1
1773652969.8851762,90.1
1773652969.9855478,90.1
1773652970.0852423,90.1
1773652970.1855314,90.1
1773652970.2851424,90.1
1773652970.3850985,90.1
1773652970.4856696,90.1
1773652970.5857463,90.1
1773652970.6856077,90.1
1773652970.7853293,90.1
1773652970.885203,90.1
1773652970.9854763,90.1
1773652971.0855172,90.1
1773652971.1854825,90.1
1773652971.2854815,90.1
1773652971.3851256,90.1
1773652971.485829,90.1
1773652971.585631,90.1
1773652971.6854632,90.1
1773652971.7855172,90.1
1773652971.8851116,90.1
1773652971.9852524,90.1
1773652972.0853739,90.1
1773652972.1856592,90.1
1773652972.2855968,90.1
1773652972.3851168,90.1
1773652972.4856908,90.1
1773652972.5856504,90.1
1773652972.6855948,90.1
1773652972.7855978,90.1
1773652972.8851364,90.1
1773652972.9855232,90.1
1773652973.0855403,90.1
1773652973.1855671,90.1
1773652973.2857354,90.1
1773652973.3851495,90.1
1773652973.4855807,90.1
1773652973.5852468,90.1
1773652973.685549,90.1
1773652973.785946,90.1
1773652973.8851585,90.1
1773652973.9852026,90.1
1773652974.085211,90.1
1773652974.1856318,90.1
1773652974.285679,90.1
1773652974.3851151,90.1
1773652974.4857998,90.1
1773652974.585368,90.1
1773652974.6851854,90.1
1773652974.7854807,90.1
1773652974.8851693,90.1
1773652974.9854312,90.1
1773652975.0852892,90.1
1773652975.1855361,90.1
1773652975.2856567,90.1
1773652975.385539,90.1
1773652975.4852607,90.1
1773652975.5858011,90.1
1773652975.6854851,90.1
1773652975.785367,90.1
1773652975.8859975,90.1
1773652975.985268,90.1
1773652976.085709,90.1
1773652976.1855085,90.1
